questionName,correctAnswer,incorrectAnswerA,incorrectAnswerB,incorrectAnswerC,difficulty,topicCode,feedback
"What is the main purpose of an operating system?","To manage hardware and provide a user interface","To create spreadsheets","To design websites","To play video games",Easy,1.5,"The OS acts as an intermediary between users and hardware, managing resources like memory and CPU."
"Which of these is a function of an operating system?","Memory management","Word processing","Graphic design","Internet browsing",Easy,1.5,"OS functions include memory management, file handling, and peripheral control."
"What type of user interface uses icons and windows?","Graphical User Interface (GUI)","Command Line Interface (CLI)","Voice User Interface (VUI)","Touch User Interface (TUI)",Easy,1.5,"GUIs are visual and intuitive; CLIs require text commands."
"How does an OS enable multitasking?","By allocating CPU time to multiple applications","By increasing RAM size","By deleting unused files","By speeding up the processor",Easy,1.5,"The OS switches rapidly between tasks, giving the illusion of simultaneous operation."
"What manages communication between hardware and the OS?","Device drivers","Applications","Web browsers","Word processors",Easy,1.5,"Drivers translate OS commands into hardware-specific instructions."
"What is file management in an OS?","Organizing and controlling access to files","Creating internet connections","Designing user interfaces","Managing email accounts",Easy,1.5,"File systems handle naming, storage, and permissions for documents."
"Why does an OS use user accounts?","To control access and permissions","To increase internet speed","To create backup files","To install new hardware",Easy,1.5,"Accounts provide security by restricting unauthorized access."
"What is virtual memory?","Using disk space as extra RAM","A type of graphics card","An internet storage service","A backup utility",Easy,1.5,"When RAM is full, the OS uses disk space to extend memory capacity."
"Which is NOT an OS function?","Photo editing","Memory management","User authentication","File organization",Easy,1.5,"Photo editing is application software; the others are core OS functions."
"What does a kernel do?","Manages communication between hardware and software","Displays graphical interfaces","Runs web browsers","Creates spreadsheet formulas",Easy,1.5,"The kernel is the core component handling memory, processes, and security."
"What is the purpose of utility software?","To perform maintenance tasks","To replace the operating system","To design websites","To play music",Medium,1.5,"Utilities like defragmentation tools optimize system performance."
"How does defragmentation help?","Organizes files for faster access","Deletes temporary files","Encrypts sensitive data","Compresses large files",Medium,1.5,"Defragmentation reduces file fragmentation, speeding up read/write operations."
"What does encryption software do?","Secures data by scrambling it","Speeds up internet connections","Deletes duplicate files","Manages user accounts",Medium,1.5,"Encryption protects data from unauthorized access using algorithms."
"Why compress files?","To reduce storage space and transfer times","To improve graphics quality","To increase RAM capacity","To prevent viruses",Medium,1.5,"Compression removes redundant data, making files smaller."
"What manages CPU allocation in multitasking?","The OS scheduler","Device drivers","User accounts","File explorer",Medium,1.5,"The scheduler prioritizes tasks to share CPU time efficiently."
"How does an OS handle peripherals?","Through device drivers","By increasing CPU speed","Via cloud storage","Using spreadsheet software",Medium,1.5,"Drivers translate OS commands into hardware-specific operations."
"What is a CLI?","A text-based interface for OS commands","A type of graphics card","A file compression tool","An internet browser",Medium,1.5,"CLIs (e.g., Terminal) require typed commands but offer precise control."
"What is the role of an OS in memory management?","Allocating RAM to applications","Designing user interfaces","Creating spreadsheet formulas","Editing photos",Medium,1.5,"The OS ensures programs get the memory they need without conflicts."
"Why assign file permissions?","To control user access to files","To increase file storage space","To speed up internet access","To improve graphics quality",Medium,1.5,"Permissions (read/write/execute) protect sensitive data."
"What is a distributed OS?","Manages multiple networked computers as one system","An OS for mobile phones","A file compression utility","A graphics editing tool",Hard,1.5,"Distributed OSes coordinate resources across machines (e.g., cloud systems)."
"How does paging work in memory management?","Divides memory into fixed-size blocks","Deletes unused files","Compresses RAM contents","Encrypts storage devices",Hard,1.5,"Paging allows efficient RAM use by swapping data to disk when full."
"What is a real-time OS?","Guarantees timely processing for critical tasks","An OS for gaming PCs","A file management tool","A user interface designer",Hard,1.5,"RTOSes prioritize predictability (e.g., in medical devices or aviation)."
"Why use system monitoring utilities?","To track performance and detect issues","To create user accounts","To design websites","To edit videos",Hard,1.5,"Monitoring tools identify bottlenecks like high CPU usage or memory leaks."
"What is a shell in an OS?","A program that interprets user commands","A type of hardware","A file compression format","An encryption algorithm",Hard,1.5,"Shells (e.g., Bash) act as interfaces between users and the kernel."
"How does an OS handle interrupts?","Pauses current tasks to address hardware events","Deletes corrupted files","Compresses system memory","Encrypts network traffic",Hard,1.5,"Interrupts allow CPUs to respond to urgent requests (e.g., keyboard input)."
"What is a monolithic kernel?","An OS design where all functions run in kernel space","A type of user interface","A file management tool","A memory compression utility",Hard,1.5,"Monolithic kernels (e.g., Linux) are fast but complex to maintain."
"How does virtualization software work?","Creates simulated computer environments","Compresses files automatically","Encrypts entire hard drives","Defragments SSDs",Hard,1.5,"Virtual machines run multiple OS instances on one physical machine."
"What is a microkernel?","An OS design with minimal kernel-space functions","A type of GUI","A file naming convention","A user account manager",Hard,1.5,"Microkernels (e.g., QNX) are more stable but slower than monolithic kernels."
"Why use disk cleanup utilities?","To free space by deleting unnecessary files","To encrypt sensitive data","To improve internet speed","To create user accounts",Hard,1.5,"Cleanup tools remove temporary files, caches, and old backups."
"What is preemptive multitasking?","The OS forcibly switches tasks to ensure fairness","Users manually switch applications","Only one app runs at a time","Tasks are never interrupted",Hard,1.5,"Preemption prevents any single task from monopolizing the CPU."
"How does an OS manage print jobs?","Using a print spooler","By compressing documents","Via encryption","With defragmentation",Hard,1.5,"Spoolers queue and schedule print jobs for efficient handling."
"What is a network OS?","Manages resources for multiple connected computers","An OS for smartphones","A file compression tool","A graphics driver",Hard,1.5,"Network OSes (e.g., Windows Server) enable shared access to files/printers."
"Why use backup utilities?","To protect against data loss","To increase RAM capacity","To speed up the CPU","To improve graphics",Hard,1.5,"Backups create copies of files for recovery after failures or attacks."
"What is a file system?","An OS structure for organizing and storing files","A type of user interface","A memory management technique","A peripheral device",Hard,1.5,"File systems (e.g., NTFS, FAT32) control how data is named and accessed."
"How does an OS handle security patches?","Updates software to fix vulnerabilities","Defragments hard drives","Compresses system files","Manages user interfaces",Hard,1.5,"Patches close security holes discovered in the OS or applications."
"What is a mobile OS?","Designed for smartphones/tablets","A type of utility software","A file compression format","A memory management tool",Hard,1.5,"Mobile OSes (e.g., Android, iOS) optimize touch input and battery life."
"Why use task managers?","To monitor and control running processes","To create spreadsheets","To design websites","To edit photos",Hard,1.5,"Task managers show CPU/RAM usage and allow force-quitting misbehaving apps."
"What is a bootloader?","Loads the OS into memory at startup","A type of file system","A user interface designer","A network protocol",Hard,1.5,"Bootloaders (e.g., GRUB) initialize hardware and launch the OS kernel."
"How does an OS handle plug-and-play devices?","Automatically detects and configures new hardware","Requires manual driver installation","Only works with wired devices","Slows down the system",Hard,1.5,"Plug-and-play simplifies adding peripherals like USB drives."
"What is swap space?","Disk space used as virtual memory","A type of CPU cache","An internet storage service","A backup utility",Hard,1.5,"Swap files/pagefiles extend usable memory when RAM is exhausted."
"Why use system restore utilities?","To revert the OS to a previous state","To encrypt files","To speed up internet","To create user accounts",Hard,1.5,"Restore points undo harmful system changes (e.g., faulty updates)."
"What is a daemon in OS terms?","A background process handling system tasks","A type of virus","A user interface element","A file compression tool",Hard,1.5,"Daemons (e.g., print spoolers) run continuously without user interaction."
"How does an OS manage power usage?","Adjusts CPU speed and screen brightness","Deletes temporary files","Defragments disks","Encrypts data",Hard,1.5,"Power management extends battery life on mobile devices."
"What is a firmware?","Low-level software controlling hardware","A type of user interface","A file management tool","A memory compression utility",Hard,1.5,"Firmware (e.g., BIOS) bridges hardware and the OS."
"Why use registry cleaners?","To fix corrupted system settings","To encrypt emails","To speed up internet","To create spreadsheets",Hard,1.5,"Registry cleaners remove invalid entries but should be used cautiously."
"What is a system call?","A program's request for OS services","A type of hardware interrupt","A file compression method","A user account permission",Hard,1.5,"System calls allow apps to safely access hardware/resources via the kernel."
"How does an OS handle file permissions?","Using read/write/execute flags","By compressing files","Via defragmentation","With encryption",Hard,1.5,"Permissions (e.g., chmod in Linux) control user/group access to files."
"What is a GUI widget?","A visual element like a button or slider","A type of device driver","A file system format","A memory management technique",Hard,1.5,"Widgets are interactive UI components in graphical interfaces."
"Why use version control utilities?","To track changes in files over time","To encrypt hard drives","To speed up CPUs","To manage user accounts",Hard,1.5,"Version control (e.g., Git) helps teams collaborate on code/documents."
